reference	sources
羅馬書 4:3	03-universal-sin-justification.md, 06-united-with-christ.md
羅馬書 4:4-5	04-abrahams-faith.md
羅馬書 4:5	04-abrahams-faith.md
羅馬書 4:7-8	00-overview.md, 04-abrahams-faith.md
羅馬書 5	00b-systematic-reception.md, 01-gospel-and-condemnation.md, 05-fruits-of-justification.md
羅馬書 5:1	05-fruits-of-justification.md
羅馬書 5:1-21	05-fruits-of-justification.md
羅馬書 5:12	05-fruits-of-justification.md
羅馬書 5:12-14	05-fruits-of-justification.md
羅馬書 5:12-19	01-gospel-and-condemnation.md
羅馬書 5:17	00-overview.md
羅馬書 5:20	05-fruits-of-justification.md
羅馬書 5:5	02-righteous-judgment.md, 05-fruits-of-justification.md, 13-submission-to-authority.md
羅馬書 5:8	00-overview.md, 00b-systematic-reception.md
羅馬書 6	03-universal-sin-justification.md, 05-fruits-of-justification.md, 06-united-with-christ.md
羅馬書 6:1-2	05-fruits-of-justification.md
羅馬書 6:1-23	06-united-with-christ.md
羅馬書 6:10	12-living-sacrifice.md
羅馬書 6:17-20	03-universal-sin-justification.md
羅馬書 6:22	06-united-with-christ.md
羅馬書 6:23	00b-systematic-reception.md, 06-united-with-christ.md
羅馬書 6:4	06-united-with-christ.md
羅馬書 7	07-law-and-flesh.md, 13-submission-to-authority.md
羅馬書 7:1-25	07-law-and-flesh.md
羅馬書 7:14-25	07-law-and-flesh.md
羅馬書 7:19	13-submission-to-authority.md
羅馬書 7:24	07-law-and-flesh.md
羅馬書 7:6	02-righteous-judgment.md
羅馬書 8	00-overview.md, 01-gospel-and-condemnation.md, 03-universal-sin-justification.md, 08-life-in-the-spirit.md, 09-sovereign-election.md, 99-to-spain.md
羅馬書 8:1	01-gospel-and-condemnation.md, 03-universal-sin-justification.md, 10-faith-and-mission.md
羅馬書 8:1-11	08-life-in-the-spirit.md
羅馬書 8:1-39	08-life-in-the-spirit.md
羅馬書 8:14-17	08-life-in-the-spirit.md
羅馬書 8:15	08-life-in-the-spirit.md
羅馬書 8:15-16	08-life-in-the-spirit.md
羅馬書 8:16	08-life-in-the-spirit.md
羅馬書 8:2	13-submission-to-authority.md
羅馬書 8:28	00-overview.md, 08-life-in-the-spirit.md
羅馬書 8:3-4	02-righteous-judgment.md
羅馬書 8:32	01-gospel-and-condemnation.md, 999-afterword.md
羅馬書 8:33	00-overview.md
羅馬書 8:35-39	08-life-in-the-spirit.md
羅馬書 8:36	00-overview.md, 08-life-in-the-spirit.md
羅馬書 9	00b-systematic-reception.md, 08-life-in-the-spirit.md, 09-sovereign-election.md, 10-faith-and-mission.md, 11-future-of-israel.md
羅馬書 9:1-33	09-sovereign-election.md
羅馬書 9:10-29	09-sovereign-election.md
羅馬書 9:19-33	09-sovereign-election.md
耶利米書 18	09-sovereign-election.md
耶利米書 18:1-6	09-sovereign-election.md
耶利米書 31	04-abrahams-faith.md
腓立比書 1:1	16-greetings-conclusion.md
腓立比書 1:13	15-christs-example-mission.md
腓立比書 1:5	15-christs-example-mission.md
腓立比書 2	15-christs-example-mission.md
腓立比書 2:10-11	14-weak-and-strong.md
腓立比書 2:7	15-christs-example-mission.md
腓立比書 3:20	13-submission-to-authority.md
腓立比書 4:22	15-christs-example-mission.md
詩篇 100	09-sovereign-election.md, 11-future-of-israel.md
詩篇 100:3-5	09-sovereign-election.md
詩篇 103:8-12	05-fruits-of-justification.md
詩篇 10:7	03-universal-sin-justification.md
詩篇 115:1	16-greetings-conclusion.md
詩篇 116:12-17	12-living-sacrifice.md
詩篇 117	15-christs-example-mission.md
詩篇 117:1	15-christs-example-mission.md
詩篇 130	03-universal-sin-justification.md
詩篇 130:1-4	03-universal-sin-justification.md, 07-law-and-flesh.md
詩篇 133	14-weak-and-strong.md
詩篇 14	00-overview.md
詩篇 140:3	03-universal-sin-justification.md
詩篇 145	11-future-of-israel.md
詩篇 145:3	11-future-of-israel.md
詩篇 14:1-3	02-righteous-judgment.md, 03-universal-sin-justification.md
詩篇 18	00-overview.md, 15-christs-example-mission.md
詩篇 18:49	15-christs-example-mission.md
詩篇 19:1-4	01-gospel-and-condemnation.md, 10-faith-and-mission.md
詩篇 19:4	10-faith-and-mission.md
詩篇 1:1	04-abrahams-faith.md
詩篇 32:1-2	00-overview.md, 04-abrahams-faith.md
詩篇 36:1	03-universal-sin-justification.md
詩篇 40	06-united-with-christ.md
詩篇 40:1-3	06-united-with-christ.md
詩篇 44	08-life-in-the-spirit.md
詩篇 44:20-26	08-life-in-the-spirit.md
詩篇 44:22	00-overview.md, 08-life-in-the-spirit.md
詩篇 53:1-3	03-universal-sin-justification.md
詩篇 5:9	03-universal-sin-justification.md
詩篇 67:1-4	15-christs-example-mission.md
詩篇 69:22-23	00-overview.md, 11-future-of-israel.md
詩篇 69:9	15-christs-example-mission.md
詩篇 72	13-submission-to-authority.md
詩篇 72:1-4	13-submission-to-authority.md
詩篇 90:17	000-preface.md, 999-afterword.md
雅各書 2	04-abrahams-faith.md
雅各書 2:14-20	04-abrahams-faith.md
雅各書 2:21-24	04-abrahams-faith.md
馬可福音 14:36	08-life-in-the-spirit.md
馬可福音 7:19	14-weak-and-strong.md
馬太福音 10:32-33	10-faith-and-mission.md
馬太福音 22:37-40	13-submission-to-authority.md
馬太福音 26:15	01-gospel-and-condemnation.md
馬太福音 26:39	15-christs-example-mission.md
馬太福音 27:51	03-universal-sin-justification.md
馬太福音 28:18	13-submission-to-authority.md
馬太福音 28:19-20	10-faith-and-mission.md
